gfem_front_base_x,gfem_front_base_y,gfem_front_base_z,gfem_rear_base_x,gfem_rear_base_y,gfem_rear_base_z,gfem_front_deform_x,gfem_front_deform_y,gfem_front_deform_z,gfem_rear_deform_x,gfem_rear_deform_y,gfem_rear_deform_z,dfem_front_base_x,dfem_front_base_y,dfem_front_base_z,dfem_rear_base_x,dfem_rear_base_y,dfem_rear_base_z,dfem_front_deform_x,dfem_front_deform_y,dfem_front_deform_z,dfem_rear_deform_x,dfem_rear_deform_y,dfem_rear_deform_z
41960.77207,-21572.82906,898.3146796,42980.22576,-20973.55649,869.9854018,41955.74755,-21571.87394,901.7357978,42982.72625,-20968.81002,868.6675948,42977.60382,-23227.37898,1011.468792,43856.2011,-22709.90374,1001.70917,42977.18031,-23226.02779,1025.3262,43855.59048,-22707.98772,1020.5697
41936.47565,-21531.62615,895.8218781,42958.00506,-20931.1244,867.5044417,41931.47444,-21530.73289,898.5354814,42960.62402,-20926.38097,865.568722,42987.71293,-23244.57723,1012.840934,43865.45108,-22727.60675,1003.121099,42987.27978,-23243.21529,1026.8617,43864.78827,-22725.66677,1022.2236
41912.17896,-21490.4228,893.3389136,42935.7838,-20888.69111,865.0350835,41907.2013,-21489.59178,895.3361735,42938.52159,-20883.95155,862.4762747,42982.65839,-23235.97816,1012.154836,43860.82609,-22718.75527,1002.414865,42982.28005,-23234.62154,1026.089,43860.18935,-22716.87724,1021.3915
41887.88202,-21449.21901,890.865739,42913.56184,-20846.25638,862.5771706,41882.92814,-21448.45066,892.1377396,42916.419,-20841.52181,859.389349,42997.82205,-23261.77529,1014.213303,43874.70106,-22745.30957,1004.535177,42997.37922,-23260.40279,1028.3968,43874.08622,-22743.34574,1023.8884
42885.51285,-23141.04363,1000.941052,43825.95725,-22588.43876,974.4231008,42877.40498,-23134.01221,1024.924006,43821.8855,-22579.72088,990.1846283,42992.76748,-23253.17628,1013.527091,43870.07607,-22736.45818,1003.82787,42992.3795,-23251.80904,1027.6343,43869.48723,-22734.55625,1023.0559
42857.30447,-23093.20667,997.5776989,43800.16,-22539.18355,970.9181203,42849.33806,-23086.44096,1021.110944,43796.33419,-22530.67073,986.3196525,42962.4401,-23201.58108,1009.411031,43842.32612,-22683.34889,999.5953362,42961.98106,-23200.24653,1023.0174,43841.69411,-22681.4189,1018.0906
42829.09563,-23045.36892,994.2293439,43774.36222,-22489.92711,967.4344496,42821.27106,-23038.86956,1017.300508,43770.78238,-22481.61963,982.469853,42957.38554,-23192.9817,1008.725242,43837.70111,-22674.4972,998.891813,42956.98131,-23191.65278,1022.2543,43837.0954,-22672.62927,1017.2667
42800.88634,-22997.5304,990.8959697,43748.56392,-22440.66944,963.9720317,42793.20396,-22991.29798,1013.493006,43745.2301,-22432.56763,978.6347205,42952.33099,-23184.38228,1008.039524,43833.07607,-22665.64547,998.1888316,42951.88155,-23183.05903,1021.4811,43832.49674,-22663.73953,1016.443
42772.67658,-22949.6911,987.5775544,43722.7651,-22391.41057,960.5307999,42765.13674,-22943.7262,1009.68875,43719.67738,-22383.51476,974.8136178,42972.54927,-23218.77976,1010.782811,43851.57611,-22701.05217,1001.004015,42972.18057,-23217.43404,1024.5534,43850.99165,-22699.19813,1019.7381
42744.46637,-22901.85104,984.2740906,43696.96577,-22342.15049,957.1106773,42737.06939,-22896.15422,1005.888067,43694.12423,-22334.46109,971.0057927,42967.49468,-23210.18044,1010.096889,43846.95112,-22692.20055,1000.299403,42967.08082,-23208.84029,1023.7905,43846.29286,-22690.30856,1018.9167
42716.25571,-22854.01021,980.9855702,43671.16593,-22292.88922,953.711577,42709.00191,-22848.58201,1002.091291,43668.57068,-22285.40665,967.2103944,43215.17626,-23631.51528,1043.748584,44073.56319,-23125.89038,1035.379622,43214.76144,-23629.8377,1061.4464,44072.98796,-23123.4758,1060.1987
42688.04461,-22806.16862,977.711951,43645.3656,-22243.62677,950.3334027,42680.93429,-22801.00954,998.2987732,43643.01677,-22236.35152,963.4264933,43265.72983,-23717.50649,1050.619907,44119.79764,-23214.39704,1042.642547,43265.25555,-23715.7774,1069.1258,44119.20605,-23211.87118,1068.762
42659.83306,-22758.32628,974.4531895,43619.56476,-22194.36316,946.9760479,42652.86649,-22753.43679,994.5109202,43617.46254,-22187.29575,959.6531025,43240.45272,-23674.51089,1047.184211,44096.68133,-23170.14348,1039.008042,43240.05866,-23672.80751,1065.2813,44096.09866,-23167.61731,1064.4983
42631.62107,-22710.48319,971.2092408,43593.76344,-22145.09839,943.6393967,42624.79852,-22705.86374,990.7281776,43591.908,-22138.23941,955.8893265,43250.56345,-23691.70914,1048.558471,44105.92806,-23187.84486,1040.461148,43250.15746,-23689.99546,1066.8232,44105.3032,-23185.29719,1066.2118
42603.40864,-22662.63936,967.980059,43567.96163,-22095.83249,940.3233237,42596.73036,-22658.29038,986.9506171,43566.35315,-22089.18247,952.1353286,43245.50807,-23683.11001,1047.87134,44101.30473,-23178.99416,1039.734476,43245.05805,-23681.40149,1066.0523,44100.70111,-23176.50699,1065.3513
42575.19578,-22614.7948,964.7655968,43542.15934,-22046.56545,937.0276941,42568.66203,-22610.71672,983.1782284,43540.79798,-22040.12492,948.3916653,43260.67429,-23708.90737,1049.932744,44115.17451,-23205.5463,1041.915189,43260.2562,-23707.18341,1068.3549,44114.60576,-23202.97984,1067.9208
42546.98249,-22566.94951,961.5658057,43516.35659,-21997.29731,933.7523639,42540.59352,-22563.14276,979.4109488,43515.24247,-21991.06671,944.6588808,43255.61886,-23700.30826,1049.245606,44110.55131,-23196.69557,1041.188054,43255.15683,-23698.58944,1067.5941,44110.00486,-23194.18847,1067.0683
